path,initial_checkpoint_sha256,final_sha256,changed
laravel/app/Services/CanonicalPricing/CanonicalContractPriceCalculator.php,0b215c8a1b0baf99ce4ceb5b182dae5700c95d6fb5cad046c0445dbcf60b69ba,0b215c8a1b0baf99ce4ceb5b182dae5700c95d6fb5cad046c0445dbcf60b69ba,False
laravel/app/Services/CanonicalPricing/CanonicalContractPricingService.php,6350286c2d12c1b662fe2686ded8f952d9f8540ba6505853fe5e98804d08e2f5,6350286c2d12c1b662fe2686ded8f952d9f8540ba6505853fe5e98804d08e2f5,False
laravel/app/Services/CanonicalPricing/CanonicalOfferFacts.php,0f659e05858d925914c47675fd7661073c342dfdf555222926d72a6192075c80,0f659e05858d925914c47675fd7661073c342dfdf555222926d72a6192075c80,False
laravel/app/Services/CanonicalPricing/CanonicalPricingParser.php,3c019f80e9e645e2738f3dbabb7ab21e1787088a36964aebeef29cb4f9b687c5,3c019f80e9e645e2738f3dbabb7ab21e1787088a36964aebeef29cb4f9b687c5,False
laravel/app/Services/CanonicalPricing/ContractPricingIntegrityService.php,afc2e544671622e9bd0777453326fc0efb5b3dbcd43b6eb971c73e09b5cb9c90,afc2e544671622e9bd0777453326fc0efb5b3dbcd43b6eb971c73e09b5cb9c90,False
laravel/app/Services/CanonicalPricing/CurrentSourcePromotionEvidence.php,affa4f89916f65bbbe46e739a1e66351e180def8a3bcb07229c08458bcb9e0e2,affa4f89916f65bbbe46e739a1e66351e180def8a3bcb07229c08458bcb9e0e2,False
laravel/app/Services/CanonicalPricing/DTO/CanonicalComponent.php,23f790d5c1880811a7a8001512e2ee34e8975efa6c33deac99de7fb66b91bf09,23f790d5c1880811a7a8001512e2ee34e8975efa6c33deac99de7fb66b91bf09,False
laravel/app/Services/CanonicalPricing/DTO/CanonicalContractData.php,75708f199bb72d0b2823989093991e3fb732510b70afcdabb3b3b5d6e1352cca,75708f199bb72d0b2823989093991e3fb732510b70afcdabb3b3b5d6e1352cca,False
laravel/app/Services/CanonicalPricing/DTO/CanonicalPeriodPricingOutcome.php,6d9e05c7474345c99e8b0ea2499190488813549c6c17f178b7451949f06df71b,6d9e05c7474345c99e8b0ea2499190488813549c6c17f178b7451949f06df71b,False
laravel/app/Services/CanonicalPricing/DTO/CanonicalPeriodPricingRequest.php,204068c97256b1d9422dab1c91c2cec4765f3118e30b07d09e91ec77e7ea83a0,204068c97256b1d9422dab1c91c2cec4765f3118e30b07d09e91ec77e7ea83a0,False
laravel/app/Services/CanonicalPricing/DTO/CanonicalPricingOutcome.php,5f02cb4f443aa2ef7e794460ce5df0f46ae05d2b8aab47d76ec9058d3eede459,5f02cb4f443aa2ef7e794460ce5df0f46ae05d2b8aab47d76ec9058d3eede459,False
laravel/app/Services/CanonicalPricing/DTO/ConsumptionEffectData.php,b0a5d6f44e1b7dce980e26ea2054634fe0d58017a2e47ea31e9e62ecfc84e800,b0a5d6f44e1b7dce980e26ea2054634fe0d58017a2e47ea31e9e62ecfc84e800,False
laravel/app/Services/CanonicalPricing/DTO/ContractContext.php,aca236fcb1384f04c0463b83cdb0ed463aa17ab01d1c4b91a37a7306ed7e9bf7,aca236fcb1384f04c0463b83cdb0ed463aa17ab01d1c4b91a37a7306ed7e9bf7,False
